CODE,LOCATION,registered,envelopes,valid,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,OB»AN… 2011-SPRAVEDL. PRO LIDI,Referendum o EvropskÈ unii,TOP 09,ANO 2011,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
541958,Olöany,181,142,142,7,0,0,17,0,18,9,5,3,0,0,0,10,0,0,7,41,0,7,0,2,1,0,15,0
578061,Ost¯etice,51,41,41,3,0,0,2,0,5,1,1,0,0,0,0,3,0,0,4,19,0,0,0,0,0,0,3,0
578061,Ost¯etice,51,41,41,3,0,0,2,0,5,1,1,0,0,0,0,3,0,0,4,19,0,0,0,0,0,0,3,0
578061,Ost¯etice,51,41,41,3,0,0,2,0,5,1,1,0,0,0,0,3,0,0,4,19,0,0,0,0,0,0,3,0
556912,PaËejov,644,388,386,24,0,1,33,3,95,30,0,3,2,0,1,29,0,0,6,101,1,15,0,3,0,0,38,1
556921,Petrovice u Suöice,513,347,345,55,1,0,22,2,17,22,4,4,5,0,0,31,0,2,11,91,0,29,0,0,0,1,47,1
556955,Pl·nice,1351,828,818,65,2,0,84,3,44,88,8,6,14,0,0,74,2,0,26,290,5,25,0,4,3,3,72,0
551686,Podmokly,125,74,74,8,0,0,3,0,5,9,0,4,1,0,0,4,0,0,2,26,0,3,0,0,0,0,7,2
541788,PoleÚ,227,126,125,6,0,2,11,0,3,29,1,0,1,0,0,14,0,0,3,36,0,3,0,0,0,0,12,4
556084,Pr·öily,131,81,79,11,0,0,5,0,6,3,2,0,0,0,0,6,0,0,13,21,0,5,0,0,0,0,6,1
557005,P¯edslav,614,434,434,43,2,0,37,4,25,36,4,8,0,0,0,26,1,0,11,169,3,10,1,1,2,2,47,2
557013,RabÌ,420,273,269,23,0,0,22,0,12,28,2,7,1,0,1,43,0,0,3,83,0,15,1,1,1,0,25,1
557021,Rejötejn,217,135,135,25,0,0,7,1,7,11,3,0,1,0,0,21,0,0,7,29,1,3,0,1,0,0,18,0
578436,Slatina,89,70,70,6,0,0,8,0,5,6,1,0,0,0,0,11,0,0,2,26,0,0,0,1,0,0,4,0
557099,SobÏöice,353,181,181,18,0,0,12,0,2,17,3,1,0,0,0,17,0,0,3,71,1,19,0,0,0,0,17,0
557111,SrnÌ,263,188,187,34,0,0,7,0,13,15,1,0,2,0,1,12,0,0,9,57,0,10,0,0,0,0,26,0
557129,StraöÌn,276,162,160,19,0,0,9,0,8,19,1,0,0,0,1,8,0,3,7,57,0,1,0,0,0,1,25,1
557137,Str·ûov,1073,688,688,75,3,2,60,0,32,53,1,3,4,1,2,37,1,1,20,252,0,54,0,2,2,6,70,7
557153,Suöice,9096,5584,5562,756,12,2,443,9,179,425,62,61,44,5,7,678,3,6,215,1†712,7,298,0,42,7,9,568,12
557161,SvÈradice,271,188,187,8,0,0,15,1,10,14,1,2,17,0,0,19,0,0,4,67,0,11,1,0,1,0,16,0
557200,ävihov,1351,887,880,82,2,1,78,1,61,100,8,2,9,0,4,66,4,0,29,281,1,49,1,4,1,5,89,2
553522,Tuûice,69,55,55,1,0,0,7,0,2,4,0,1,0,0,0,3,0,0,1,20,0,5,0,0,0,1,10,0
541885,T˝nec,268,155,155,8,1,0,26,0,2,14,1,1,0,2,1,12,0,0,2,57,0,3,0,0,1,0,23,1
578321,⁄jezd u Pl·nice,93,60,59,1,0,0,5,0,1,8,2,1,0,0,0,4,0,0,2,22,0,2,0,0,0,0,10,1
557366,Velhartice,712,461,459,32,1,1,27,1,31,41,4,4,1,0,0,37,0,0,15,142,0,79,0,3,1,3,35,1
557374,VelkÈ HydËice,207,123,123,4,1,0,13,0,5,6,2,1,1,1,0,14,0,0,3,54,0,12,0,2,0,0,4,0
557382,Velk˝ Bor,446,285,285,17,0,0,52,0,19,12,6,5,3,0,0,24,0,0,9,92,0,15,0,3,0,1,26,1
557455,VrhaveË,718,517,512,51,2,1,59,3,31,29,6,4,7,0,1,54,1,0,35,170,0,13,0,2,0,2,39,2
566055,V¯eskovice,247,138,138,21,0,0,18,0,6,8,0,4,5,0,0,13,0,0,8,25,1,8,0,1,1,0,19,0
557463,Zavlekov,365,225,222,16,3,0,13,0,9,22,1,3,2,0,0,9,0,0,5,94,0,13,0,0,0,0,31,1
